"","Source","Target"
"df_2","Choi, Suk Bong","Williams, Christopher"
"df_21","Javalgi, Rajshekhar (Raj) G.","Grossman, David A."
"df_22","Martin, Silvia L.","Javalgi, Rajshekhar (Raj) G."
"df_23","Ghasemi, Bahare","Rowshan, Aligholi"
"df_24","Anwar, Muhammad Naveed","Daniel, Elizabeth"
"df_25","D'Angelo, Alfredo","Benassi, Mario"
"df_26","Godley, Andrew C.","Casson, Mark C."
"df_27","Rethel, Lena","Sinclair, Timothy J."
"df_28","Baglieri, Daniela","Lorenzoni, Gianni"
"df_29","De Clercq, Dirk","Zhou, Lianxi"
"df_210","Hallback, Johanna","Gabrielsson, Peter"
"df_211","Hills, Gerald E.","Hultman, Claes"
"df_212","Wallnoefer, Maria","Hacklin, Fredrik"
"df_213","Chen, Hsiang Ling","Hsu, Chun-Hui"
"df_214","Clausen, Tommy","Korneliussen, Tor"
"df_215","Gregoire, Denis A.","Shepherd, Dean A."
"df_216","Siegel, Donald S.","Renko, Maija"
"df_217","Cumming, Douglas","Suret, Jean-Marc"
"df_218","BenDor, Todd K.","Riggsbee, J. Adam"
"df_219","Jones, Rosalind","Rowley, Jennifer"
"df_220","Pitelis, Christos N.","Teece, David J."
"df_221","Baker, William E.","Sinkula, James M."
"df_222","Merlo, Omar","Auh, Seigyoung"
"df_223","Santos, Filipe M.","Eisenhardt, Kathleen M."
"df_224","Kocak, Akin","Abimbola, Temi"
"df_225","Robertson, Morgan","Hayden, Nicholas"
"df_226","Frishammar, Johan","Horte, Sven Ake"
"df_227","van Zyl, H. J. C.","Mathur-Helm, B."
"df_228","Wu, Brian","Knott, Anne Marie"
"df_229","Miles, MP","Darroch, J"
"df_230","Lee, JH","Venkataraman, S"
"df_231","Huyghebaert, N","De Gucht, LMV"
"df_232","Igel, B","Islam, N"
"df_233","Choi, Suk Bong","Williams, Christopher"
"df_2110","Javalgi, Rajshekhar (Raj) G.","Grossman, David A."
"df_2210","Martin, Silvia L.","Javalgi, Rajshekhar (Raj) G."
"df_234","Ghasemi, Bahare","Rowshan, Aligholi"
"df_241","Anwar, Muhammad Naveed","Daniel, Elizabeth"
"df_251","D'Angelo, Alfredo","Benassi, Mario"
"df_261","Godley, Andrew C.","Casson, Mark C."
"df_271","Rethel, Lena","Sinclair, Timothy J."
"df_281","Baglieri, Daniela","Lorenzoni, Gianni"
"df_291","De Clercq, Dirk","Zhou, Lianxi"
"df_2101","Hallback, Johanna","Gabrielsson, Peter"
"df_2111","Hills, Gerald E.","Hultman, Claes"
"df_2121","Wallnoefer, Maria","Hacklin, Fredrik"
"df_2131","Chen, Hsiang Ling","Hsu, Chun-Hui"
"df_2141","Clausen, Tommy","Korneliussen, Tor"
"df_2151","Gregoire, Denis A.","Shepherd, Dean A."
"df_2161","Siegel, Donald S.","Renko, Maija"
"df_2171","Cumming, Douglas","Suret, Jean-Marc"
"df_2181","BenDor, Todd K.","Riggsbee, J. Adam"
"df_2191","Jones, Rosalind","Rowley, Jennifer"
"df_2201","Pitelis, Christos N.","Teece, David J."
"df_2211","Baker, William E.","Sinkula, James M."
"df_2221","Merlo, Omar","Auh, Seigyoung"
"df_2231","Santos, Filipe M.","Eisenhardt, Kathleen M."
"df_2241","Kocak, Akin","Abimbola, Temi"
"df_2251","Robertson, Morgan","Hayden, Nicholas"
"df_2261","Frishammar, Johan","Horte, Sven Ake"
"df_2271","van Zyl, H. J. C.","Mathur-Helm, B."
"df_2281","Wu, Brian","Knott, Anne Marie"
"df_2291","Miles, MP","Darroch, J"
"df_2301","Lee, JH","Venkataraman, S"
"df_2311","Huyghebaert, N","De Gucht, LMV"
"df_2321","Igel, B","Islam, N"
"1","Matsuno, K","Mentzer, JT"
"2","Matsuno, K","Ozsomer, A"
"3","Mentzer, JT","Ozsomer, A"
